address,accountno,pin,sale_date_end,Sales Price,impvac,style,year_built,Imp Size SqFt,Lot Size Acres,streetno,streetalp,streetdir,streetsuf,streetname,addition_n,address_zip
8001 N 157 ST,R2012147150,2012147150,7/11/2022,956577,Vacant,,,,1.831,8001,,N,ST,157,PINE CREEK REP 2*,680070000
15808 GREBE ST,R2012147212,2012147212,6/24/2015,453024,Vacant,,,,1.3,15808,,,ST,GREBE,PINE CREEK REPLAT FIVE,680070000
15605 BENNINGTON RD,R1904980002,1904980002,4/15/2015,365000,Improved,Neighborhood Shopping Center,1962,5760,0.31,15605,,,RD,BENNINGTON,OFTS ADD TO BENNINGTON,680070000
209 S STARK ST,R0610950002,610950002,11/6/2014,357000,Improved,Storage Warehouse,1996,7463,0.22,209,,S,ST,STARK,BENNINGTON -TOWN OF-,680070000
12350 N 153 CR,R0609435040,609435040,7/29/2010,255000,Vacant,,,,2.89,12350,,N,CR,153,BENNINGTON INDUSTRIAL PARK,680070000
6939 N 145 ST,R2413220035,2413220035,12/4/2018,240000,Vacant,Day Care Center,2019,7790,0.786,6939,,N,ST,145,WATERFORD VILLAGE,680070000
15835 C W HADAN DR,R0609435220,609435220,7/16/2013,200000,Vacant,Bar/Tavern,2014,3990,1.2213,15835,,,DR,C W HADAN,BENNINGTON PARK PLAZA REPLAT 1,680070000
124 S STARK ST,R0610150000,610150000,7/30/2021,182200,Improved,Office Building,1970,1800,0.14,124,,S,ST,STARK,BENNINGTON -TOWN OF-,680070000
15408 S SECOND ST,R0610190002,610190002,6/2/2014,150000,Improved,Mixed Retail w/ Res Units,1913,2865,0.11,15408,,S,ST,SECOND,BENNINGTON -TOWN OF-,680070000
,R0610190002,610190002,4/12/2016,150000,Improved,Bar/Tavern,1913,2865,0.11,15408,,S,ST,SECOND,BENNINGTON -TOWN OF-,680070000
15514  WAREHOUSE ST,R0609990000,609990000,12/6/2019,88000,Improved,Office Building,1990,1120,,15514,,,ST,WAREHOUSE,BENNINGTON -TOWN OF-,680070000
15416 S 2 ST,R0610220000,610220000,7/2/2014,80000,Improved,Office Building,1911,2879,0.06,15416,,S,ST,2,BENNINGTON -TOWN OF-,680070000
20809  CUMBERLAND DR,R0910860550,910860550,3/27/2018,11600000,Improved,Mini Warehouse,2016,144006,,20809,,,DR,CUMBERLAND,CRESTLINE REPLAT 2,680220000
20201 MANDERSON ST,R1414382202,1414382202,4/29/2015,5678230,Improved,Drug Store,2007,14466,1.816,20201,,,ST,MANDERSON,INDIAN CREEK COMMERCIAL PLAZA,680220000
18303  EVANS ST,R0523380534,523380534,12/15/2021,4839995,Vacant,,,,20.3685,18303,,,ST,EVANS,ANTLER VIEW EAST,680220000
